"count","ticket_summary","suggested_title","suggested_tags"
"1","Device name: DESKTOP-EUQB3FN - Patch management update FAILED to complete. ERROR: [-3005 Windows communication error, Find failed when performing missing patch search] [Windows error code: 0x80244022, description: Same as HTTP status 503 - the service is","How to: Device name: DESKTOP-EUQB3FN - Patch management update FAILED to complete. ERROR: [-3005 Wâ€¦",""
"1","[DEV] Backup succeeded with warnings","How to: [DEV] Backup succeeded with warnings",""
"1","Device name: DESKTOP-VNIC9AL - Memory Utilization is greater than or equal to 90% from 2026-04-09T17:37:24Z to 2026-04-09T17:51:27Z - MODERATE/MEDIUM","How to: Device name: DESKTOP-VNIC9AL - Memory Utilization is greater than or equal to 90% from 202â€¦",""
"1","[Admin] Backup succeeded with warnings","How to: [Admin] Backup succeeded with warnings",""
"1","[3CX Repository] Backup succeeded with warnings","How to: [3CX Repository] Backup succeeded with warnings","telecoms"
"1","ZaheZone - Security event detected","How to: ZaheZone - Security event detected",""
"1","[Curio | John Ryan] Backup succeeded with warnings","How to: [Curio | John Ryan] Backup succeeded with warnings",""
"1","Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-09T19:23:14Z to 2026-04-09T19:23:14Z - MODERATE/MEDIUM","How to: Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is lessâ€¦",""
"1","Device name: DESKTOP-VNIC9AL - Memory Utilization is greater than or equal to 90% from 2026-04-09T20:37:53Z to 2026-04-09T20:51:57Z - MODERATE/MEDIUM","How to: Device name: DESKTOP-VNIC9AL - Memory Utilization is greater than or equal to 90% from 202â€¦",""
"1","Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-09T15:07:01Z to 2026-04-09T15:07:01Z - MODERATE/MEDIUM","How to: Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is lessâ€¦",""
"1","[Wire-Not Electrical Shared Drive] Backup succeeded with warnings","How to: [Wire-Not Electrical Shared Drive] Backup succeeded with warnings",""
"1","[RFP] Backup succeeded with warnings","How to: [RFP] Backup succeeded with warnings",""
"1","Please install Adobe Creative Cloud on my computer. It is in dowloads already","How to: Please install Adobe Creative Cloud on my computer. It is in dowloads already",""
"1","Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-09T10:50:31Z to 2026-04-09T10:50:31Z - MODERATE/MEDIUM","How to: Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is lessâ€¦",""
"1","[ShieldTech Management] Backup succeeded with warnings","How to: [ShieldTech Management] Backup succeeded with warnings",""
"1","[CON] Backup succeeded with warnings","How to: [CON] Backup succeeded with warnings",""
"1","[Marketing] Backup succeeded with warnings","How to: [Marketing] Backup succeeded with warnings",""
"1","[Management] Backup succeeded with warnings","How to: [Management] Backup succeeded with warnings",""
"1","Device display name: BWPSSD-5CD0151X (Phil B) - Running Script: ActionSet for Condition : Disk Free Space is less than or equal to 10% for 15 minutes, start alerting after 10 minutes - MODERATE/MEDIUM","How to: Device display name: BWPSSD-5CD0151X (Phil B) - Running Script: ActionSet for Condition :â€¦",""
"1","Memory added: 'Physical Memory 1', DeviceLocator: 'Controller0-ChannelA-DIMM1', Capacity: '8589934592', InstallDate: '2026-04-12T18:31:19Z' - MAJOR/HIGH","How to: Memory added: 'Physical Memory 1', DeviceLocator: 'Controller0-ChannelA-DIMM1', Capacity:â€¦",""
"1","Memory added: 'Physical Memory 3', DeviceLocator: 'Controller1-ChannelB-DIMM1', Capacity: '8589934592', InstallDate: '2026-04-12T18:31:19Z' - MAJOR/HIGH","How to: Memory added: 'Physical Memory 3', DeviceLocator: 'Controller1-ChannelB-DIMM1', Capacity:â€¦",""
"1","Device name: LIG-MAILSTORE - Disk Volume Free space for 'D:' is less than or equal to 20% from 2026-04-12T16:20:01Z to 2026-04-12T16:20:01Z - MODERATE/MEDIUM","How to: Device name: LIG-MAILSTORE - Disk Volume Free space for 'D:' is less than or equal to 20%â€¦",""
"1","Device name: LIG-MAILSTORE - Disk Volume Free space for 'D:' is less than or equal to 20% from 2026-04-12T17:00:08Z to 2026-04-12T17:00:08Z - MODERATE/MEDIUM","How to: Device name: LIG-MAILSTORE - Disk Volume Free space for 'D:' is less than or equal to 20%â€¦",""
"1","Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-12T22:55:59Z to 2026-04-12T22:55:59Z - MODERATE/MEDIUM","How to: Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is lessâ€¦",""
"1","[NLT-PC-PW0GT345.nlta.local] Backup status is unknown","How to: [NLT-PC-PW0GT345.nlta.local] Backup status is unknown",""
"1","Device display name: NLT-PC-GM028TTZ (Chris J) - Memory removed: '_system_', DeviceLocator: 'N/A', Capacity: '16839020544' - CRITICAL/HIGH","How to: Device display name: NLT-PC-GM028TTZ (Chris J) - Memory removed: '_system_', DeviceLocatorâ€¦",""
"1","Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-12T21:17:33Z to 2026-04-12T21:17:33Z - MODERATE/MEDIUM","How to: Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-12T21:17:33Z to 2â€¦",""
"1","Device name: LIG-MAILSTORE - Disk Volume Free space for 'D:' is less than or equal to 20% from 2026-04-12T15:20:51Z to 2026-04-12T15:20:51Z - MODERATE/MEDIUM","How to: Device name: LIG-MAILSTORE - Disk Volume Free space for 'D:' is less than or equal to 20%â€¦",""
"1","Alert - silverstonedevelopments.onmicrosoft.com - AllTenants: Alert on expiring application secrets","How to: Alert - silverstonedevelopments.onmicrosoft.com - AllTenants: Alert on expiring applicatioâ€¦",""
"1","Your weekly PIM digest for Wire-Not Electrical Pty Ltd (ID: 5f24a087-fbad-4ed0-8f57-88325beb1fe8)","How to: Your weekly PIM digest for Wire-Not Electrical Pty Ltd (ID: 5f24a087-fbad-4ed0-8f57-88325bâ€¦",""
"1","Device display name: BWPSSD-5CD0151X (Phil B) - Disk Volume Free space for 'C:' is less than or equal to 10% from 2026-04-10T20:34:19Z to 2026-04-10T20:34:19Z - MODERATE/MEDIUM","How to: Device display name: BWPSSD-5CD0151X (Phil B) - Disk Volume Free space for 'C:' is less thâ€¦",""
"1","Device name: NLTABNEAD01 - Windows Service: 'Acronis Managed Machine Service (MMS)' is Stopped at '2026-04-10T21:28:45Z' - MODERATE/MEDIUM","How to: Device name: NLTABNEAD01 - Windows Service: 'Acronis Managed Machine Service (MMS)' is Stoâ€¦",""
"1","Login details for Google Workspace","How to: Login details for Google Workspace","authentication"
"1","Device name: LIG-MAILSTORE - Disk Volume Free space for 'D:' is less than or equal to 20% from 2026-04-12T14:40:45Z to 2026-04-12T14:40:45Z - MODERATE/MEDIUM","How to: Device name: LIG-MAILSTORE - Disk Volume Free space for 'D:' is less than or equal to 20%â€¦",""
"1","Device name: LIG-MAILSTORE - Disk Volume Free space for 'D:' is less than or equal to 20% from 2026-04-12T12:46:26Z to 2026-04-12T12:46:26Z - MODERATE/MEDIUM","How to: Device name: LIG-MAILSTORE - Disk Volume Free space for 'D:' is less than or equal to 20%â€¦",""
"1","Device name: LIG-MAILSTORE - Disk Volume Free space for 'D:' is less than or equal to 20% from 2026-04-12T13:25:33Z to 2026-04-12T13:25:33Z - MODERATE/MEDIUM","How to: Device name: LIG-MAILSTORE - Disk Volume Free space for 'D:' is less than or equal to 20%â€¦",""
"1","Memory removed: '_system_', DeviceLocator: 'N/A', Capacity: '34016727040' - CRITICAL/HIGH","How to: Memory removed: '_system_', DeviceLocator: 'N/A', Capacity: '34016727040' - CRITICAL/HIGH",""
"1","Device display name: NLT-PC-PF4TT5W7 (Ben T) - Memory added: 'Physical Memory 0', DeviceLocator: 'Controller0-ChannelA', Capacity: '17179869184', InstallDate: '2026-04-07T23:40:04Z' - MAJOR/HIGH","How to: Device display name: NLT-PC-PF4TT5W7 (Ben T) - Memory added: 'Physical Memory 0', DeviceLoâ€¦",""
"1","Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-07T22:18:29Z to 2026-04-07T22:18:29Z - MODERATE/MEDIUM","How to: Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is lessâ€¦",""
"1","Memory added: 'Physical Memory 1', DeviceLocator: 'Controller1-ChannelA/B-DIMM0', Capacity: '17179869184', InstallDate: '2026-04-07T23:40:04Z' - MAJOR/HIGH","How to: Memory added: 'Physical Memory 1', DeviceLocator: 'Controller1-ChannelA/B-DIMM0', Capacityâ€¦",""
"1","file link is getting blocked with https://northonline.amp.com.au/","How to: file link is getting blocked with https://northonline.amp.com.au/",""
"1","FW: Authorise install","How to: FW: Authorise install","authentication"
"1","Client Report Generation for March","How to: Client Report Generation for March",""
"1","UniFi Site Migrations","How to: UniFi Site Migrations",""
"1","Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-07T20:30:03Z to 2026-04-07T20:30:03Z - MODERATE/MEDIUM","How to: Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is lessâ€¦",""
"1","Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-07T11:57:40Z to 2026-04-07T11:57:40Z - MODERATE/MEDIUM","How to: Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is lessâ€¦",""
"1","[HLG-CORE.hlg.local] Backup failed","How to: [HLG-CORE.hlg.local] Backup failed",""
"1","Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-07T07:42:09Z to 2026-04-07T07:42:09Z - MODERATE/MEDIUM","How to: Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-07T07:42:09Z to 2â€¦",""
"1","[Congdon Fuzi] 3CX Alert: IP 87.237.52.2 has been blacklisted on PBX - congdonfuzi.3cx.com.au","How to: [Congdon Fuzi] 3CX Alert: IP 87.237.52.2 has been blacklisted on PBX - congdonfuzi.3cx.comâ€¦","telecoms"
"1","Memory added: 'Physical Memory 0', DeviceLocator: 'Controller0-ChannelA-DIMM0', Capacity: '8589934592', InstallDate: '2026-04-07T20:04:23Z' - MAJOR/HIGH","How to: Memory added: 'Physical Memory 0', DeviceLocator: 'Controller0-ChannelA-DIMM0', Capacity:â€¦",""
"1","Device display name: NLT-PC-GM0LVEQJ (Carmen H) - Memory added: 'Physical Memory 1', DeviceLocator: 'Controller1-ChannelA-DIMM0', Capacity: '8589934592', InstallDate: '2026-04-07T20:04:23Z' - MAJOR/HIGH","How to: Device display name: NLT-PC-GM0LVEQJ (Carmen H) - Memory added: 'Physical Memory 1', Devicâ€¦",""
"1","Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-07T16:14:04Z to 2026-04-07T16:14:04Z - MODERATE/MEDIUM","How to: Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is lessâ€¦",""
"1","Device display name: NLT-PC-GM0LVEQJ (Carmen H) - Memory removed: '_system_', DeviceLocator: 'N/A', Capacity: '16775528448' - CRITICAL/HIGH","How to: Device display name: NLT-PC-GM0LVEQJ (Carmen H) - Memory removed: '_system_', DeviceLocatoâ€¦",""
"1","ATT: Shaun - Microsoft issue again - AR - Desktop","How to: ATT: Shaun - Microsoft issue again - AR - Desktop",""
"1","Device display name: NLTDSAGE01 (SAGE) - Disk Volume Free space for 'F:' is less than or equal to 20% from 2026-04-09T02:58:39Z to 2026-04-09T02:58:39Z - MODERATE/MEDIUM","How to: Device display name: NLTDSAGE01 (SAGE) - Disk Volume Free space for 'F:' is less than or eâ€¦",""
"1","Device name: NLTABNEAD02 - EventId: 4722, EventTime: 2026-04-09T03:17:14Z, Source: Microsoft-Windows-Security-Auditing, Message: A user account was enabled.","How to: Device name: NLTABNEAD02 - EventId: 4722, EventTime: 2026-04-09T03:17:14Z, Source: Microsoâ€¦",""
"1","Device display name: NLTDSAGE01 (SAGE) - Disk Volume Free space for 'F:' is less than or equal to 20% from 2026-04-09T00:56:18Z to 2026-04-09T00:56:18Z - MODERATE/MEDIUM","How to: Device display name: NLTDSAGE01 (SAGE) - Disk Volume Free space for 'F:' is less than or eâ€¦",""
"1","Device display name: NLTDSAGE01 (SAGE) - Disk Volume Free space for 'F:' is less than or equal to 20% from 2026-04-09T01:36:26Z to 2026-04-09T01:36:26Z - MODERATE/MEDIUM","How to: Device display name: NLTDSAGE01 (SAGE) - Disk Volume Free space for 'F:' is less than or eâ€¦",""
"1","Mail Migration from Cpanel to O365 (existing tenancy)","How to: Mail Migration from Cpanel to O365 (existing tenancy)",""
"1","Scan to Email failing to send","How to: Scan to Email failing to send","email; printing"
"1","Device display name: NLTDSAGE01 (SAGE) - Disk Volume Free space for 'F:' is less than or equal to 20% from 2026-04-09T03:38:49Z to 2026-04-09T03:38:49Z - MODERATE/MEDIUM","How to: Device display name: NLTDSAGE01 (SAGE) - Disk Volume Free space for 'F:' is less than or eâ€¦",""
"1","Add Mobile number to 3CX for SMS and outgoing calls","How to: Add Mobile number to 3CX for SMS and outgoing calls","telecoms"
"1","Disk Volume Free space for 'F:' is less than or equal to 20% from 2026-04-09T00:16:09Z to 2026-04-09T00:16:09Z - MODERATE/MEDIUM","How to: Disk Volume Free space for 'F:' is less than or equal to 20% from 2026-04-09T00:16:09Z toâ€¦",""
"1","Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-08T12:46:21Z to 2026-04-08T12:46:21Z - MODERATE/MEDIUM","How to: Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is lessâ€¦",""
"1","Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-08T17:01:58Z to 2026-04-08T17:01:58Z - MODERATE/MEDIUM","How to: Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is lessâ€¦",""
"1","Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-08T08:29:25Z to 2026-04-08T08:29:25Z - MODERATE/MEDIUM","How to: Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-08T08:29:25Z to 2â€¦",""
"1","Charity Email Signature","How to: Charity Email Signature","authentication; email"
"1","Device display name: NLTDSAGE01 (SAGE) - Disk Volume Free space for 'F:' is less than or equal to 20% from 2026-04-08T22:55:56Z to 2026-04-08T22:55:56Z - MODERATE/MEDIUM","How to: Device display name: NLTDSAGE01 (SAGE) - Disk Volume Free space for 'F:' is less than or eâ€¦",""
"1","Device display name: NLTDSAGE01 (SAGE) - Disk Volume Free space for 'F:' is less than or equal to 20% from 2026-04-08T23:36:04Z to 2026-04-08T23:36:04Z - MODERATE/MEDIUM","How to: Device display name: NLTDSAGE01 (SAGE) - Disk Volume Free space for 'F:' is less than or eâ€¦",""
"1","Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-08T22:01:39Z to 2026-04-08T22:01:39Z - MODERATE/MEDIUM","How to: Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is lessâ€¦",""
"1","Disk Volume Free space for 'F:' is less than or equal to 20% from 2026-04-08T22:15:48Z to 2026-04-08T22:15:48Z - MODERATE/MEDIUM","How to: Disk Volume Free space for 'F:' is less than or equal to 20% from 2026-04-08T22:15:48Z toâ€¦",""
